Object ID,Distance,Point:0,Point:1,Point:2
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
